experiment,LUDENSITYMIX,INTDENSITYSCEN,CARSVCAVAILSCEN,SHDCARSVCOCCUPRATE,CARCHARGEAVAILSCEN,SOVDIVIVERTSCEN,TAXSCEN,LANEMILESCEN,OPSDEPLOYSCEN,TRANSITSERVICESCEN,TDMINVESTMENTSCEN,HouseholdDvmtPerHh,HouseholdDvmtPerPrsn,HouseholdDvmtPerHhIncLess25K,HouseholdDvmtPerHhInc25Kto50K,HouseholdDvmtPerHhIncOver50K,HouseholdDvmtPerPrsnUrban,HouseholdDvmtPerPrsnTown,HouseholdDvmtPerPrsnRural,HouseholdCarSvcDvmtPerHh,HouseholdCarSvcDvmtPerPrsn,HouseholdCarSvcDvmtPerPrsnUrban,HouseholdCarSvcDvmtPerPrsnTown,HouseholdCarSvcDvmtPerPrsnRural,HouseholdDriverlessDvmtPerPrsnUrban,HouseholdDriverlessDvmtPerPrsnTown,HouseholdDriverlessDvmtPerPrsnRural,TotalDvmt,TotalDvmtPerPrsn,TotalGGEPerCapita,TotalCO2e,HouseholdCO2ePerPrsn,HouseholdCO2ePerMile,HouseholdCO2ePerMileUrban,HouseholdCO2ePerMileTown,HouseholdCO2ePerMileRural,ComSvcCO2eRate_Metro,ComSvcCO2eRate_SalemKeizer,BusCO2eRate_Metro,BusCO2eRate_SalemKeizer,HvyTrkAveUrbanCO2eRate_Metro,TransitTrips,TransitTripsPerCapita,TransitPMTPerPrsnUrban,TransitPMTPerPrsnTown,TransitPMTPerPrsnRural,SovToBikeTripPerCapita,BikeTripsPerCapita,BikePMTPerPrsnUrban,BikePMTPerPrsnTown,BikePMTPerPrsnRural,WalkTripsPerCapita,WalkPMTPerPrsnUrban,WalkPMTPerPrsnTown,WalkPMTPerPrsnRural,HhFuelTax,HhPevFuelTax,ComSvcFuelTax,VmtTax,ExtraVmtTax,CongFee,VehOwnTax,EnergyCost,SocEnvCost,CarSvcCost,TotalVehOwnCost,TotalVehUseCost,HouseholdDriverlessDvmtPerHh,AdjDriverlessDvmtPerHh,CarSvcDeadheadDvmtPerPrsn,DriverlessVehicleProp,FwyDvmtPropExtCong_Metro,FwyDvmtPropExtCong_SalemKeizer,ArtDvmtPropExtCong_Metro,ArtDvmtPropExtCong_SalemKeizer,FwyExtCongTTI_Metro,FwyExtCongTTI_SalemKeizer,ArtExtCongTTI_Metro,ArtExtCongTTI_SalemKeizer,LdvAveSpeed_Metro,LdvAveSpeed_SalemKeizer,HvyTrkAveSpeed_Metro,HvyTrkAveSpeed_SalemKeizer,BusAveSpeed_Metro,BusAveSpeed_SalemKeizer,NonUrbanAveSpeed_Metro,NonUrbanAveSpeed_SalemKeizer,AutoFatalCrash_Metro,AutoFatalCrash_SalemKeizer,AutoInjuryCrash_Metro,AutoInjuryCrash_SalemKeizer,BikeFatalCrash_Metro,BikeFatalCrash_SalemKeizer,BikeInjuryCrash_Metro,BikeInjuryCrash_SalemKeizer,WalkFatalCrash_Metro,WalkFatalCrash_SalemKeizer,WalkInjuryCrash_Metro,WalkInjuryCrash_SalemKeizer,AutoFatalUrban,AutoInjuryUrban,AutoFatalRural,AutoInjuryRural,OwnCostProp,OwnCostPropHhLess25K,OwnCostPropHh25Kto50K,OwnCostPropHhOver50K,OwnCostPropUrban,OwnCostPropTown,OwnCostPropRural,VehCostProp,VehCostPropHhLess25K,VehCostPropHhAge65Plus,RoadUseTax,TotalTaxRev,TotalFuelTax,ChargingCost,LaneMileCost,OpsCost,SOVCost,PerMileCharge,TDMCost,TransitCost,VehOwnTaxAdj,AnnualRoadUseTax,TotalBudget,Costs,PresAdaptBudget
1,0.8537356366310797,0.9541175564312442,low,2.342346316535586,0.5479860898199411,0.9989772562259724,0.040633262766734644,0.7365412037964458,0.9501388939998733,0.1286951939127457,0.6005512686991625,47.5803705408033,18.9018868662411,14.9535333375312,31.7710302589236,59.1646704906063,15.8858503421816,23.3072982855148,25.9785962352647,2.21359671110377,0.879378494223483,1.04429979581468,0.619979606954991,0.516919416636369,7.55922526998395,10.9177460099167,12.5078812818053,124927904.84384,22.7886502562722,0.715921015279814,26861436766.1465,4675.62950682829,247.36310929778,238.799444493878,255.756884997933,259.80690218616,174.122172866188,175.110532303478,1891.0507241444,1286.92700318357,1175.08288040423,1341461.7288831,0.244701951977053,17.733850384979,0.96701334842187,1.10153063936208,0.219434842136802,0.19995662698499,1133.55633763452,0.0779205002761629,0.0552023424258842,5.17387083019931,0.50952587570752,0.274253823384454,0.244902817427434,55611695.5038228,0.0,2388278.24645317,607404290.312545,0.0,0.0,242266911.33948,2573246744.3056,1953714577.96664,5128578871.94902,10148066150.4852,12195897084.9004,22.6093257386046,6.84043336603281,0.204058877395487,0.396091592017967,0.375506060850165,0.256107115418049,0.207056721599165,0.208106745024648,2.33569107684163,2.39575669984967,1.32647553386003,1.327815886364,28.8663531996986,29.8444065659369,29.8641822167074,31.1723408901114,23.6202039164396,23.80664713669,59.9999520000384,40.9290500140336,47.3806750186887,15.5718081188276,13094.981157992,4390.77630764727,0.0064022836912523,0.0150657430729529,0.47395236207066,0.730579941836849,0.053685454912933,0.136654366380978,0.60417944835744,2.0037852363669,76.9936496504917,18210.9758051276,55.3172015627675,5572.78106891453,0.0358110483162493,0.138298935087829,0.0855140316617168,0.0319473081589729,0.0314762334861849,0.0446746799624882,0.0447824661714032,0.000115817641669,0.0004983846942756,0.0001097857797781,1801161.20472247,907671175.402301,73085592.92280154,170696174.7004838,841924722.2778676,675069446.9999366,499693176.8677917,0.020234301623388254,0.0,0.0,359152715.5036997,828417808.1643171,3436783667.4061575,2187383520.84608,1249400146.5600777
2,0.6315248316512827,0.7188714210362128,high,1.1769254934524556,0.6667853245498424,0.6051004159255934,0.3054052183830792,0.3281305531592274,0.30696719334302364,0.9779435103709176,0.5760306806065211,48.20755716303,19.1510444588072,15.2291588249886,32.1505081494302,59.933403595784,16.2503913806549,23.4788889813252,25.8365508019213,2.65714091683492,1.05558188023363,1.31442332883183,0.626965260540961,0.515172762683427,7.7127874468492,10.9593539629949,12.4847017776006,126462154.202656,23.0685194503299,0.726693494866161,27320506377.7231,4748.19258628891,247.933870996018,239.699672915289,256.278281032608,260.061827039455,174.147711015556,175.081676647041,1891.0507241444,1286.92700318357,1175.62158429519,1727353.38521952,0.315094151414454,85.7967459048101,0.993273122206686,1.10825160224149,0.171148908418618,0.137532651852221,1186.37039241246,0.0663924091602892,0.0533386262135939,3.11436618151321,0.587034090076984,0.268796662772376,0.244193727511593,56274874.0598785,0.0,2388252.75463886,1000577611.30845,0.0,0.0,239110755.8084,2602567970.42161,1986227961.31537,5573430307.72842,10021819543.2216,12991347620.438,22.872015567244,6.84169755767691,0.264709988207655,0.39588123670138,0.375506060850165,0.272386638922777,0.209766757770191,0.209805974721616,2.34631870860673,2.40666820358618,1.3305937718581,1.33577036254623,28.7523803475807,29.469741612541,29.7981671191036,30.8432606896775,23.5641317323544,23.7206270261238,59.9999520000384,39.3472448623722,48.0674896660511,15.8299458019644,13284.8016884655,4463.56328360913,0.0050471516906159,0.0126038335020143,0.373633781452821,0.611195073633905,0.0534381204294874,0.140290823196926,0.601395930698695,2.05710719506793,78.8213716013047,18625.3143389755,55.0332226919568,5541.11995827591,0.0353720544091039,0.135204677749882,0.0841857393345754,0.0315909602140989,0.0308069605427612,0.0446670310186528,0.0448686623667205,0.0001233715923501,0.0005517257337792,0.0001198306182305,2884495.84376943,1298351493.93137,73921230.10959281,203365964.25120667,596878331.8955364,353483596.6715118,381530124.777678,0.03290363969963034,0.0,0.0,354473818.8963499,1326681764.1249096,4305529058.806729,1535258017.595933,2770271041.2107964
3,0.14787187922797712,0.04915609152171225,low,2.360898442463247,0.2439056308422265,0.9856016177945524,0.10698818186123932,0.5206985845851593,0.39329296060799934,0.10909319901542763,0.21387476885947293,51.43857989251,20.4346079409897,17.1461196099711,34.666135995427,63.6479952584673,18.2585364243076,23.2997499481499,25.9554482881818,2.08573762793786,0.82858490229988,0.965278979035731,0.622008531070146,0.51700555775181,8.70705957052759,10.9152140017645,12.514299864162,133326430.976803,24.3206624592424,0.748440166487392,28940704383.8618,5055.18001026281,247.38326396381,240.146889488225,256.031524414056,258.893085900789,174.175905754969,175.048678281,1891.0507241444,1286.92700318357,1176.38681769858,1261906.51022936,0.230189933575499,20.7691609727283,1.07991495607336,1.13128973960163,0.22558099807643,0.0537962463122799,1134.59102888384,0.0436042494319447,0.0454411110876259,0.764798659731474,0.474119766534197,0.253746035639277,0.240466097825239,60092573.9518891,0.0,2388237.38970152,759859751.67924,0.0,0.0,254779334.057823,2778627581.90085,2113035055.70419,4803869052.43217,10688035248.2767,12582124954.7448,24.4830906043242,7.46586528577967,0.193259385129768,0.395423301191085,0.375506060850165,0.287678198655091,0.213303585133088,0.211536076232071,2.34489071179864,2.40637159410973,1.33004155901427,1.33470625768846,28.7598795255054,29.2502152419929,29.7714728534588,30.6024752397683,23.5218960896917,23.6873369087754,58.416113524801,36.7899745062095,54.1614466509688,16.4893533911587,14969.0379696843,4649.49616934874,0.0021665600887705,0.0084126251967941,0.160387499392416,0.407951681985274,0.0348028635288191,0.105863567073612,0.391673590588048,1.552294730048,88.1823591046789,20935.9700700539,55.271461269475,5567.4547920538,0.037694169380267,0.157895781415668,0.0910834072193656,0.0333775087008461,0.0342587064676798,0.0447076368740995,0.0448180572266649,0.0001194854326254,0.0005377798936901,0.000114094619072,2229269.03522566,1077119897.07865,78731882.92910428,87074048.4816123,712419150.7510955,396646480.30399966,495680485.33836573,0.0234093845020603,0.0,0.0,377701970.00971836,1025319756.5704733,3809792339.133979,1691820164.8750732,2117972174.2589056
4,0.5965183583097083,0.469604676085045,low,2.9850275522764766,0.5439634822428323,0.471424663741215,0.9657978643417499,0.355187558673275,0.21077032439186794,0.14348995267279496,0.23940710233543577,48.8273831678126,19.3972779556462,15.2568073608737,32.2868217065096,60.8059787417735,16.7991432482616,23.2371620468338,25.4339956385205,2.20029538103792,0.874094377407713,1.0363771951175,0.624422203846503,0.510048741423945,7.98277443669761,10.8472696060009,12.2267205857599,127646583.21648,23.2845763719854,0.72611672790998,27504311299.7518,4792.70366987544,247.081249278091,238.990885414008,255.387773249543,259.90584801032,174.15755476407,175.082367371113,1891.0507241444,1286.92700318357,1175.91430442789,1331031.91173675,0.24279940301906,20.081971537664,1.02323662903669,1.11612183620459,0.158521403145022,0.103076704400698,1138.69782234317,0.0559632461834024,0.0502833857561597,1.19528288537353,0.498687864360019,0.263261097048277,0.243500032359923,57062200.7260432,0.0,2388290.84825113,1987006133.75718,0.0,0.0,246136790.182177,2638779418.36554,2002458252.63216,5080314255.14716,10320742938.9238,13692605414.2957,23.1575890901948,6.94852487459857,0.203436229093857,0.395726979804994,0.375506060850165,0.272058438118298,0.210901014879848,0.209737474633408,2.34790781790017,2.40755331040008,1.33120862103678,1.33695458164808,28.741534664781,29.4692880838976,29.7803514764707,30.8426997258833,23.5458505456821,23.7151250715239,59.9999520000384,38.3652794305682,49.8134203533553,15.8283155153443,13767.3387026467,4463.10359236379,0.0039491722638485,0.0113107408702404,0.292351856452777,0.54848940188997,0.0439127426995585,0.121491001848938,0.494196737330618,1.78144235199653,81.3180815130278,19256.5082860862,54.1826004011228,5453.42344756961,0.0364133158915466,0.144345371624422,0.0871976933232792,0.0324126327701794,0.0323537419052493,0.0446966771942728,0.0448365747923683,0.0001300310470274,0.0005532250279907,0.000124189217197,5544823.94728514,2292593415.51365,74913386.08129352,169589957.61677888,613112535.203965,305385162.19593394,341427399.1223645,0.06450342780875273,0.0,0.0,364889683.4096361,2550260847.8482895,6458944592.7864065,1429515054.1390424,5029429538.647364
5,0.10832786346131479,0.3032421712171832,low,2.7584931044885383,0.3836762307828497,0.07589260954119496,0.5760655744454724,0.6185956237244944,0.15043819614902826,0.30014291033395435,0.23162260055077993,51.3454587204963,20.3976144111317,17.0623615301705,34.5414352200815,63.5593571353861,18.1383173919753,23.7040069982169,25.690367459634,2.10258955325132,0.835279536707578,0.972237315793227,0.635941140537852,0.512986014092327,8.63021082321531,11.1043245030389,12.3604784475455,133161506.796224,24.2905779118811,0.748181511889965,28872913774.3036,5040.30262423477,247.102554379305,239.817800640815,255.864176117547,258.413659646493,174.169755639634,175.040842733343,1891.0507241444,1286.92700318357,1176.41320015501,1342154.89391328,0.244828395268185,27.7492962422451,1.04467896725754,1.12186895235977,0.11412141821126,0.0777931578731543,1143.05473545358,0.0499976054024908,0.047860547439973,1.03795252911101,0.511231228266735,0.258903950160812,0.242243531663033,59953906.229247,0.0,2388190.93696687,1485516732.3983,0.0,0.0,254382570.941026,2771971263.21967,2107050790.10744,4853133834.58028,10662786055.5089,13336836836.2479,24.3945407564521,7.39054432280228,0.194471517819062,0.395380907120038,0.375506060850165,0.290171898475816,0.212469274449218,0.211866714899188,2.34890539622859,2.40917676512889,1.33159427332058,1.33737631074567,28.761492529826,29.2148584261176,29.760890566663,30.5467515750056,23.5234303060754,23.6645100348894,59.9314843853105,36.7949108389768,53.2891780163773,16.648722384513,14727.9620177233,4694.43337862168,0.003039972144376,0.0099931517145926,0.225045007053445,0.484595825314505,0.0404897475814061,0.115919630973482,0.455674137390474,1.69974843322748,87.8086388528691,20792.2146084311,54.7098140978228,5509.8389870566,0.0376070739738293,0.157665041138405,0.0909938636268543,0.0332928836703163,0.0341254698282576,0.0447570673204797,0.0447745862118314,0.0001266525109999,0.0005667311619279,0.0001215988539439,4197845.39772804,1802241400.50554,78557089.61285464,125510963.46528366,771157374.2346966,275219098.07451415,222767782.86235848,0.04585473773721585,0.0,0.0,377113781.75891066,1930737723.1314323,5393379704.061413,1394655218.636853,3998724485.4245596
6,0.575461217920715,0.7827052334505431,low,1.0031940437123787,0.9196968040211356,0.0713786728860794,0.7504619992902299,0.9734199120920639,0.8809046516132316,0.1523888093080763,0.5615132683636903,48.8447838889149,19.4041906059246,15.4699241818597,32.4822763744815,60.7358996631811,16.6843015363893,23.5668091361163,25.5347051490667,2.20436930013061,0.875712791827714,1.03283304130692,0.637852122386008,0.518124617194762,7.9274142162876,11.0170683363303,12.326492632647,127686242.69918,23.2918108331869,0.729194520171401,27703071673.0497,4828.89460298554,248.85833689508,242.131404086393,255.502744281646,259.552563207296,174.132685694579,175.088188070248,1891.0507241444,1286.92700318357,1175.49594962358,1326440.60203353,0.241961881961008,19.099135350039,0.985768375495741,1.10633702249346,0.11078798856606,0.158917310824783,1131.18197247519,0.0693639432645896,0.0541482035425992,2.59324845932927,0.507828223821822,0.270231317794345,0.244836567953007,57071323.418012,0.0,2387681.61081827,1670304380.72706,0.0,0.0,246456877.450741,2639708370.24743,2020070400.92966,5095958627.97687,10326389337.4082,13393275232.417,23.1909954767501,6.99273170993373,0.203608502334537,0.395651528474038,0.375506060850165,0.263449337152938,0.208109084814297,0.209208774495059,2.33683370768232,2.39870435070273,1.32691928398677,1.32867533588757,28.8831283044803,29.7385316121181,29.8484961844294,31.0320838452107,23.6039063091177,23.7783704340403,59.9999520000384,38.7728189229386,49.3280829835243,15.9715749874644,13633.2020802643,4503.4984065839,0.0055505713395974,0.0134602574274731,0.410901254006965,0.652725460725975,0.0499944670301094,0.130711378473161,0.562640841176874,1.91664223651285,80.8753498601017,19126.9571921494,54.4357001213718,5475.31660719513,0.0364337331514028,0.144943287954183,0.0873276527581534,0.0324187500355057,0.0323788442892943,0.0447315506881474,0.0448177362640202,0.0001271884750129,0.0005490209867939,0.0001217333260968,4732327.68626635,1976220263.20663,74924113.85981397,272916621.1058123,984051947.2552383,640452325.8066158,221413601.8658238,0.0541996066660375,0.0,0.0,365364202.2412311,2176565050.9756265,5805470240.703252,2118834496.0334902,3686635744.6697617
7,0.8890931112986167,0.44853098287644616,mid,1.3128881871483902,0.8752744289242329,0.6186000399888453,0.112174401205068,0.9674779495910343,0.5502990787764774,0.16210078238670422,0.9020413420373501,48.5830614470109,19.3002181498257,15.283165569137,32.4449471453857,60.4069052114569,16.3637024132608,23.6541073085465,26.1047517565262,2.38284788146183,0.946615601411278,1.17648322728075,0.5804712732756,0.447502888385128,7.79356094530527,11.2554827448369,13.0460894595619,127118188.69221,23.1881895957404,0.726567658696847,27530826223.6602,4797.42064331284,248.568208196972,239.994609687841,256.304228447108,262.291185957164,174.131855823601,175.099286683945,1891.0507241444,1286.92700318357,1175.6054547933,1336601.87814755,0.243815445164595,20.9021308897826,1.02625114086398,1.1169781399098,0.175978489950551,0.0996653554955834,1131.51895158435,0.0549249805317799,0.0495940144093576,1.16748010939842,0.50166897446768,0.262225392344261,0.242488741441828,56881263.393114,0.0,2386811.02504991,725009572.917387,0.0,0.0,241417285.402896,2627155260.94894,2004082546.35425,5310157594.19732,10126136185.821,12620297406.9838,23.3671970974177,7.85866690698168,0.226831849431958,0.396211252773557,0.375506060850165,0.258653363527756,0.207852349311171,0.208614217423607,2.34229535494672,2.40358699424911,1.32903700072354,1.33276812758233,28.8614125848121,29.7937980455424,29.8271676362357,31.0880333098791,23.5951855067937,23.7686186747071,59.9999520000384,40.0529010573512,49.0274356811995,15.8219155351388,13550.1097486842,4461.29899258699,0.0038516018491979,0.011148263620507,0.28512885123746,0.540610426449779,0.0438785097549873,0.121708879408549,0.493811477643423,1.78463712614716,79.2457238348982,18784.8048370958,55.4459442447114,5598.82493142257,0.0357348972432663,0.137195597615184,0.0852847914306501,0.0318947628975012,0.0313520033786644,0.0446730407754338,0.044835086801376,0.0001198479351427,0.0005265826098057,0.0001148738893455,2132948.5524554,1025694932.73845,74683522.77010508,260700467.95416406,980486769.7546206,475149539.3882387,385580011.99665356,0.023657545097662505,0.0,0.0,357893173.0403918,981018556.3177382,3705371811.4441175,2101916789.0936768,1603455022.3504407
8,0.10148012032769044,0.5171337229690628,high,2.3554808766864848,0.5529961041341699,0.46329655265527747,0.8070942844418715,0.31027033694252937,0.043504722401865634,0.09265486663904882,0.03204877831657389,50.9418438957597,20.237273462375,16.9276569305956,34.1313040157389,63.0898408562613,18.0356278756962,23.3439189120966,25.5477636442749,2.29830695295678,0.913030678721381,1.0953221377335,0.626973755767434,0.511518143199308,8.59286296467421,10.9154045136323,12.2737930718651,132241379.96237,24.1227335168732,0.742489293012654,28562902962.1719,4986.47689892843,246.400628434421,238.736448442715,255.29750411448,258.796033099278,174.182495929879,175.051444080678,1891.0507241444,1286.92700318357,1176.50864421441,1209762.46537983,0.220678108315092,18.3838882592286,1.01737165511864,1.11444685091145,0.161839771260028,0.109264412499266,1136.8036707636,0.05775318122803,0.0509067184589176,1.22737769472645,0.488543651153726,0.264255604812716,0.24362107586588,59456167.2552541,0.0,2388274.08844164,1828845242.37229,0.0,0.0,255097357.457715,2749695862.87298,2084161129.68372,4899011835.83359,10685791431.7492,13632813091.2845,24.2052256506811,7.28251325402,0.226334327130928,0.395365508570919,0.375506060850165,0.289082808616344,0.213657557662852,0.211498941108809,2.35067468800061,2.40845535971398,1.33225198728501,1.33780501062166,28.7047833453173,29.1826120210988,29.7445105427678,30.5647598648303,23.5050373671086,23.6654356117563,58.5728367475299,36.6926927479673,53.5379623033527,16.3463318736238,14796.7205474206,4609.16845108481,0.0041265002320851,0.0115053868452329,0.305479204983392,0.557928328625957,0.0436833826603677,0.120336544856098,0.49161550518537,1.76451436103996,87.0953960108292,20678.7311740096,54.4192288316615,5478.29710277133,0.0376846419748503,0.158784388125953,0.0911070593782871,0.0333517522964326,0.0342611414121943,0.0446792926893577,0.0447768322637965,0.0001294632326393,0.0005885906487265,0.0001252430910273,5112376.72171972,2145787041.1737,77929995.00386693,172073928.63689673,586162202.1655176,221752361.2009328,338988965.79658324,0.056909461510543546,0.0,0.0,378173429.2239933,2351363058.0167317,6129436272.010041,1318977457.7999303,4810458814.210111
9,0.5686625952818742,0.4075240029073372,mid,1.811210231832223,0.7414500072815339,0.28238726943801157,0.2969620837972078,0.08112717576330342,0.22143902351398947,0.5864796876902278,0.566874624112732,49.4438170422974,19.6421638870418,15.7739796504741,33.0614273869198,61.4130658204661,16.9387526058863,23.700708059082,25.8399683451498,2.41108830051642,0.957834454899763,1.16113629332396,0.634736127342842,0.515436462188971,8.04784476993056,11.0992957879345,12.4264696056171,129076875.324391,23.5454822652863,0.733953111834192,27888455429.9804,4856.95262035304,247.271769459028,239.261301631597,255.528687214061,259.720714383129,174.167290324148,175.059838877909,1891.05072414441,1286.92700318357,1175.92573814528,1526188.47676908,0.278398773002061,46.0172087195214,1.03124647415345,1.11835171419056,0.136848185827947,0.090143731359736,1166.55740085212,0.0534371424351327,0.0491617803565589,1.37445081003587,0.54966218745356,0.261293567940595,0.242648133508397,57765026.091401,0.0,2388210.66364556,1013946685.49054,0.0,0.0,243462391.632289,2670927950.6637,2029896990.08573,5347035614.90393,10204991338.5706,13002418321.9944,23.4670704338105,7.07352583688669,0.230412402759834,0.395591365117531,0.375506060850165,0.285883071022277,0.21200268546314,0.211117658570266,2.34773262538202,2.40730076807939,1.33114056106028,1.33682323107461,28.6988659745629,29.2266164710562,29.7735992916129,30.6241353195177,23.5331569118176,23.6830244418132,59.9999520000384,38.0427108039996,49.9949061405818,16.1336136271136,13817.4974005386,4549.18837492064,0.0035369712094177,0.0106706418621872,0.26183717250298,0.517449213974321,0.0448076164877892,0.124882918246752,0.504267702596714,1.83117857470882,82.117284755198,19413.9350057623,55.0409953582883,5541.79745480806,0.0360116136092366,0.140739579182444,0.0860384900882369,0.0320968306047491,0.0317723994880729,0.0446831646207902,0.0447809939031363,0.0001234767246365,0.0005469367851722,0.0001189579661173,2911491.41289747,1317562313.87788,75798913.17532395,223898752.00242183,448676305.45798206,310719511.7569947,284716180.8314035,0.03249963570969639,0.0,0.0,360924975.6572618,1339097982.14502,4336994542.467864,1268010750.0488021,3068983792.4190617
10,0.3815436498031149,0.6579662747937377,low,1.2811042096169203,0.25692789259929827,0.864881619015657,0.9771284217252144,0.06424394121441603,0.4556923756433277,0.9349601766966492,0.01986281330853996,47.8639630373244,19.0145474702766,14.9145412342686,31.5875161763202,59.6299846035715,16.2964029212234,22.9570750858026,25.4290632642766,2.18793365444105,0.86918352961587,1.03120824730462,0.616292970969381,0.510504897667014,7.7486011712339,10.735924398971,12.2034030815907,125705353.223708,22.9304680450462,0.724328560505464,27181001757.6164,4723.313242502,248.405240770807,240.701717225219,256.800404085528,259.501582377571,174.154064144885,175.079829009401,1891.0507241444,1286.92700318357,1175.51112317891,1767134.61859676,0.322350821694247,79.8053257999956,1.00040763091907,1.11003510857419,0.198581450532174,0.126980771364388,1187.57800792104,0.0639188340127784,0.0528664205337199,2.61019368241943,0.585446197980185,0.267927033861467,0.244439933484063,55956819.5324322,0.0,2388232.33417448,1963946915.54058,0.0,0.0,244880519.57576,2588022831.51351,1974684738.24099,5029439588.62566,10258663475.9818,13498022148.2951,22.7104719074672,6.80904771872508,0.203045121987587,0.396026806351185,0.375506060850165,0.275743221023037,0.210566731989853,0.210029376558284,2.34385962113463,2.40385673682513,1.32964242035311,1.33393643063744,28.7211330033844,29.3988928317873,29.8028427319817,30.8032401525209,23.5599720813248,23.7243456157616,59.9999520000384,38.1154475846346,47.8530874381175,15.7563537555478,13225.5456070797,4442.81256465785,0.0047262040990034,0.0121802607792796,0.349874467357842,0.590654849786951,0.0515637645179146,0.137024698395309,0.580301812701257,2.00921547502317,79.1148952952799,18676.4246099007,54.1692265976701,5452.61361050637,0.036199697589659,0.143347567663843,0.0867314430980459,0.0322229840661681,0.032049854590321,0.0446966446045679,0.0447741056517496,0.0001281831981304,0.0005399368056042,0.0001222006141145,5516069.41815781,2267172486.98295,73520424.8219555,90655170.46480702,438546364.7286496,427846187.82166386,459464485.70469713,0.06504559497955151,0.0,0.0,363027303.61865467,2537035621.848527,6431500385.291999,1416512208.7198176,5014988176.572182
