"","id","ar_typ_","county_1","region","ALAND","AWATER"
"1","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"2","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"3","Yamhill-Center","Center","Yamhill","Willamette Valley",26303551596,535237434
"4","Klamath-Fringe","Fringe","Klamath","Southeast",88327640728,1422765901
"5","Klamath-Center","Center","Klamath","Southeast",88327640728,1422765901
"6","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"7","Jefferson-Outer","Outer","Jefferson","Northeast",76231954730,338603126
"8","Klamath-Outer","Outer","Klamath","Southeast",88327640728,1422765901
"9","Klamath-Center","Center","Klamath","Southeast",88327640728,1422765901
"10","Klamath-Center","Center","Klamath","Southeast",88327640728,1422765901
"11","Klamath-Center","Center","Klamath","Southeast",88327640728,1422765901
"12","Klamath-Center","Center","Klamath","Southeast",88327640728,1422765901
"13","Klamath-Center","Center","Klamath","Southeast",88327640728,1422765901
"14","Klamath-Center","Center","Klamath","Southeast",88327640728,1422765901
"15","Klamath-Center","Center","Klamath","Southeast",88327640728,1422765901
"16","Klamath-Center","Center","Klamath","Southeast",88327640728,1422765901
"17","Klamath-Center","Center","Klamath","Southeast",88327640728,1422765901
"18","Tillamook-Inner","Inner","Tillamook","North Coast",9245287925,1890452492
"19","Tillamook-Fringe","Fringe","Tillamook","North Coast",9245287925,1890452492
"20","Josephine-Fringe","Fringe","Josephine","Southwest",32846296458,1783626345
"21","Curry-Inner","Inner","Curry","Southwest",32846296458,1783626345
"22","Washington-Inner","Inner","Washington","Portland Metro",7837455373,126207074
"23","Curry-Outer","Outer","Curry","Southwest",32846296458,1783626345
"24","Curry-Inner","Inner","Curry","Southwest",32846296458,1783626345
"25","Umatilla-Center","Center","Umatilla","Northeast",76231954730,338603126
"26","Josephine-Center","Center","Josephine","Southwest",32846296458,1783626345
"27","Josephine-Fringe","Fringe","Josephine","Southwest",32846296458,1783626345
"28","Umatilla-Center","Center","Umatilla","Northeast",76231954730,338603126
"29","Umatilla-Center","Center","Umatilla","Northeast",76231954730,338603126
"30","Josephine-Fringe","Fringe","Josephine","Southwest",32846296458,1783626345
"31","Josephine-Center","Center","Josephine","Southwest",32846296458,1783626345
"32","Josephine-Fringe","Fringe","Josephine","Southwest",32846296458,1783626345
"33","Josephine-Fringe","Fringe","Josephine","Southwest",32846296458,1783626345
"34","Jackson-Center","Center","Jackson","Southwest",32846296458,1783626345
"35","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"36","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"37","Baker-Center","Center","Baker","Northeast",76231954730,338603126
"38","Linn-Center","Center","Linn","Willamette Valley",26303551596,535237434
"39","Jackson-Center","Center","Jackson","Southwest",32846296458,1783626345
"40","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"41","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"42","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"43","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"44","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"45","Clackamas-Fringe","Fringe","Clackamas","Portland Metro",7837455373,126207074
"46","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"47","Clackamas-Center","Center","Clackamas","Portland Metro",7837455373,126207074
"48","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"49","Clackamas-Center","Center","Clackamas","Portland Metro",7837455373,126207074
"50","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"51","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"52","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"53","Coos-Inner","Inner","Coos","Southwest",32846296458,1783626345
"54","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"55","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"56","Washington-Inner","Inner","Washington","Portland Metro",7837455373,126207074
"57","Washington-Inner","Inner","Washington","Portland Metro",7837455373,126207074
"58","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"59","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"60","Lane-Center","Center","Lane","Willamette Valley",26303551596,535237434
"61","Lane-Center","Center","Lane","Willamette Valley",26303551596,535237434
"62","Hood River-Fringe","Fringe","Hood River","Northeast",76231954730,338603126
"63","Hood River-Center","Center","Hood River","Northeast",76231954730,338603126
"64","Hood River-Inner","Inner","Hood River","Northeast",76231954730,338603126
"65","Hood River-Fringe","Fringe","Hood River","Northeast",76231954730,338603126
