experiment,CARCHARGEAVAILSCEN,ChargingCost$22,CARSVCAVAILSCEN,INTDENSITYSCEN,LANEMILESCEN,LaneMileCost$22,LUDENSITYMIX,OPSDEPLOYSCEN,OpsCost$22,SHDCARSVCOCCUPRATE,SOVDIVIVERTSCEN,SOVCost$22,TAXSCEN,Per Mile Charge$2022,TDMINVESTMENTSCEN,,TRANSITSERVICESCEN,TransitCost$22,VehOwnTax,VehOwnTax(Adj)$2022,RoadUseTax,AnnualRoadUseTax$2022,TotalFuelTax,TotalFuelTax2022,Total Budget$2022,Costs$2022,PresAdapt$2022,JobsDeficit_statewide,Bridges_restricted_statewide,ForfeitGDP_statewide,HouseholdDvmtPerPrsn,TotalDvmtPerPrsn,TotalCO2e,HouseholdCO2ePerPrsn,HouseholdCO2ePerMileRural,BusCO2eRate_Metro,HvyTrkAveUrbanCO2eRate_Metro,TransitTripsPerCapita,TransitPMTPerPrsnUrban,BikeTripsPerCapita,BikePMTPerPrsnUrban,WalkTripsPerCapita,WalkPMTPerPrsnUrban,ArtDvmtPropExtCong_SalemKeizer,FwyExtCongTTI_Metro,ArtExtCongTTI_Metro,LdvAveSpeed_Metro,AutoFatalCrash_Metro,AutoFatalUrban,AutoInjuryUrban,AutoFatalRural,OwnCostProp,OwnCostPropHhLess25K,OwnCostPropHh25Kto50K
2302,0.645357107,287907142.1,mid,0.364529439,0.876394603,1038197302,0.851397081,0.498899284,599779856.8,1.5,0.295676279,718270511.5,0.519715361,0.043162092,0.170367149,,0.557166617,1968599940,239063852.6,354404352.9,3772393.38,1735057602,59421016.9,74876259.18,5021788611,2285019556,2736769054,100000,300,350,19.36401299,23.2756774,27585132828,4804.079995,260.2541737,1891.050724,1175.682824,0.279742944,44.34717029,0.084624263,1153.680512,1.292219827,0.547862302,0.209192037,2.343146258,1.329366162,28.84381025,49.14032401,80.41486213,18977.62836,54.78904095,0.035380826,0.134217181,0.084347612
2303,0.028595068,275571901.4,low,0.217120927,0.121127979,660563989.3,0.349928267,0.138260692,527652138.4,1.5,0.018497872,607399148.8,0.074430896,0.021856157,0.075304764,,0.537279689,1944735627,248123552.7,367835062.4,2087303.101,960024777.3,62252958.16,78444780.53,3685156789,1767487604,1917669185,150000,400,500,20.3404214,24.24647674,28933161233,5043.829685,259.3614712,1891.050724,1176.327097,0.271968072,41.51356873,0.067268879,1162.763373,1.105728919,0.539495758,0.212775692,2.349108237,1.331673423,28.68780832,52.67575347,86.70130549,20527.04614,55.30455522,0.036706247,0.147806835,0.088079008
2304,0.681796167,288635923.3,mid,0.370788611,0.657226418,928613209.2,0.923649094,0.886425048,677285009.6,1.5,0.134195659,653678263.8,0.117491092,0.023916498,0.572199796,,0.354090636,1724908763,239691116.4,355334251.1,2176898.449,1001232857,59885031.97,75460963.29,3739548437,2221373274,1518175163,150000,400,500,19.5505377,23.45518676,27766496671,4837.150129,260.0926481,1891.050724,1175.572694,0.260516083,28.9019415,0.087208268,1145.534933,1.167724487,0.523412368,0.20997328,2.336741773,1.326883583,28.83574542,49.56132153,81.04631135,19141.9869,55.25038659,0.035478938,0.135054627,0.084691977
2305,0.410118922,283202378.4,high,0.799914108,0.559631532,879815765.8,0.501941485,0.158553445,531710689.1,1.5,0.045729585,618291834.2,0.554558769,0.044829277,0.550079621,,0.9622255,2454670600,241586227.4,358143691.2,3909518.298,1798126219,59379454.11,74823886.03,5135806376,2003874750,3131931625,80000,250,225,19.4117996,23.31937787,27584449199,4791.830751,259.7307729,1891.050724,1175.750064,0.309093775,81.16149906,0.153312397,1181.966921,4.018317046,0.585009427,0.210251366,2.348773977,1.331536751,28.77670557,48.90913469,80.54711457,19029.96963,54.72952226,0.035710209,0.139051338,0.085252483
2306,0.892172031,292843440.6,mid,0.987724579,0.35970848,779854239.9,0.866379287,0.144445301,528889060.2,1.5,0.558610557,823444222.7,0.237123917,0.029640679,0.264215869,,0.462631665,1855157998,239427600,354943596.6,2588122.831,1190369546,58168672.18,73298183.06,4066362122,2013308852,2053053270,100000,300,350,18.99381547,22.89217657,27023458864,4702.910332,260.0581666,1891.050724,1175.48095,0.271287215,30.68912452,0.204463772,1156.057224,7.073947248,0.544489046,0.209239756,2.3490037,1.331626509,28.75403215,47.46600286,77.35039312,18300.1233,55.11549663,0.035401351,0.134625874,0.084374183
2307,0.988610856,294772217.1,high,0.705526534,0.433432269,816716134.5,0.842731684,0.925100759,685020151.7,1.5,0.924781939,969912775.4,0.741288881,0.053763925,0.621373658,,0.22362619,1568351428,241204760.8,357578179.4,4548578.8,2092052825,58027205.83,73119921.71,5646630486,2281464891,3365165595,80000,250,225,18.93779515,22.83343494,26904083824,4675.372955,259.5113984,1891.050724,1175.380491,0.242725503,22.20649571,0.143231733,1142.533507,2.074767174,0.513634513,0.208168081,2.33610337,1.326636479,28.81180009,48.2384004,78.03077639,18493.39252,54.48607872,0.035680451,0.136959564,0.084994202
2308,0.817767215,291355344.3,high,0.907599153,0.23551771,717758854.9,0.583138514,0.560657856,612131571.1,1.5,0.71949933,887799732,0.297457059,0.032527495,0.13471602,,0.513308932,1915970718,243161769.2,360479380.4,2874483.467,1322076966,59177421.06,74569304.74,4304610353,2065145636,2239464717,100000,300,350,19.35148755,23.2564919,27442543771,4779.763701,259.5335031,1891.050724,1175.643778,0.262985887,34.29581397,0.18301986,1160.815025,4.988745135,0.54599599,0.209853313,2.342124672,1.328970845,28.75076062,49.52001571,80.13983256,19006.29573,55.04921175,0.035936154,0.140632474,0.085973656
2309,0.878180455,292563609.1,mid,0.541356223,0.139207658,669603828.9,0.004522266,0.423779702,584755940.5,1.5,0.27832005,711328020,0.905791728,0.061635044,0.061575196,,0.693445776,2132134931,254269345.2,376945999.1,5503395.231,2531206790,61187621.04,77102352.18,6441486997,1902587389,4538899609,40000,200,150,20.02943342,23.9465088,28446404124,4957.879101,258.7672806,1891.050724,1176.082508,0.276930653,54.43103926,0.107684686,1171.79677,1.763871779,0.559851671,0.212076115,2.344386728,1.329846297,28.71305515,51.81545854,85.69815136,20286.9059,54.29346616,0.037528308,0.157082408,0.090774752
2310,0.314107676,281282153.5,mid,0.554634835,0.269664222,734832110.8,0.402547756,0.51360139,602720278,1.5,0.247962841,699185136.5,0.784213251,0.055817766,0.826195679,,0.830450853,2296541023,244802715.6,362912029.9,4826222.123,2219750844,59316801.95,74744938.21,5878279648,1968427111,3909852537,40000,200,150,19.35831298,23.26684022,27596672409,4798.539712,259.6020119,1891.050724,1175.594374,0.303092981,69.39037554,0.109678448,1178.166215,1.956030818,0.575181087,0.210608242,2.342901659,1.329272025,28.75580139,48.69437281,80.80537932,19070.70641,54.42283728,0.036215891,0.143320561,0.086732586
2311,0.476708274,284534165.5,low,0.518356393,0.010868202,605434100.9,0.191065491,0.820930498,664186099.7,1.5,0.812085048,924834019.3,0.254472023,0.03047075,0.989978962,,0.200453718,1540544462,253162704.2,375305439.9,2766959.86,1272623042,60529582.45,76273159.57,4235873793,2016571376,2219302418,100000,300,350,19.76938408,23.6512663,28145918409,4911.529615,259.0060225,1891.050724,1175.71761,0.240290286,23.23205806,0.109711245,1146.837292,1.32687557,0.505171089,0.21136932,2.337824782,1.327304097,28.72689328,50.84893808,83.57631201,19752.91588,55.07485341,0.037420038,0.155333153,0.0902394
